"","X","time_stamp","event","worker_id","file_name.x","session_id","microtask_id","question_type","question","answer","answer_index","confidence","difficulty","duration","explanation","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score.x","test_duration","feedback","quit_fileName","quit_reason","line","char_count","cyclomatic_complexity","length_Halstead","volume_Halstead","LOC","trimmed_LOC","s_char_count","s_cyclomatic_complexity","s_length_Halstead","s_volume_Halstead","s_LOC","s_trimmed_LOC","LineID","isBugCovering","type","faulty_lines","all_Lines","LOC_inspection","LOC_original","isAnswerCorrect","file_name.y","adjusted_score","qualification_score.y","testDuration_fastMembership","is_fast"
"51",31,"Tue 2015 Jul 07 08:58:16.421","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","12","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'max'  at line  115 that might be related to the failure?","I_DO_NOT_KNOW",3,0,4,337624,"I don t know the lowerbound method to be able to comment on this one. If it does not a double like value; that would possibly cause an issue. I am not a Java expert but possibly needs a NEW keyword.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"method invocation","","115",1,1,TRUE,"HIT02_24",0.678505656428569,4,0.622648560914223,TRUE
"53",31,"Tue 2015 Jul 07 08:58:16.421","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","12","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'max'  at line  115 that might be related to the failure?","I_DO_NOT_KNOW",3,0,4,337624,"I don t know the lowerbound method to be able to comment on this one. If it does not a double like value; that would possibly cause an issue. I am not a Java expert but possibly needs a NEW keyword.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"method invocation","","115",1,1,TRUE,"HIT08_54",0.678505656428569,4,0.656745645551679,TRUE
"57",35,"Tue 2015 Jul 07 09:01:30.586","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT02_24","33gc6e0c6-99","15","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'Color'  at line  119 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,3,4,276233,"It appears there s an issue with this method because there is no other place that exception could be thrown. The Math functions would throw an exception about  Color .",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",119,26,2,16,37.15084952,1,1,227,2,107,484.0211293,6,6,119,FALSE,"method invocation","","119",1,1,FALSE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
"60",37,"Tue 2015 Jul 07 09:03:30.169","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT02_24","33gc6e0c6-99","13","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'min'  at line  116 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,4,119583,"Math.min simply returns the lower value of the two values passed to it. Therefore; it will either return v or the upperBound. Since v is checked in line 115; this function call shouldn t cause an error.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",116,33,1,16,44.91767875,1,1,227,2,107,484.0211293,6,6,116,FALSE,"method invocation","","116",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
"64",39,"Tue 2015 Jul 07 09:05:17.515","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT02_24","33gc6e0c6-99","11","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'v' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,2,107346,"The failure is caused by passing the parameter g to the Color function. v is not used to calculate this value at all so it is not related to the failure.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"variable","","115;116",2,2,TRUE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
"66",40,"Tue 2015 Jul 07 09:05:23.723","MICROTASK","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8","432CE0E-3e-7-31","6","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursInMinutes' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,5,3,416662,"Illegal argument exception is thrown if the id is not recognised -02:15 is not recognised",1.44e+12,"java;c","Professional_Developer","Female","University",4,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,555191,"I have got simpler questions in this HIT on locale.I hope my answers get useful to your research","","",284,38,1,18,50.5323886,1,1,825,16,305,1644.656814,23,18,284,FALSE,"variable","","284;285;286;288",4,4,FALSE,"HIT01_8",0.880821906012702,4,0.663004301766892,TRUE
"67",40,"Tue 2015 Jul 07 09:05:23.723","MICROTASK","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8","432CE0E-3e-7-31","6","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursInMinutes' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,5,3,416662,"Illegal argument exception is thrown if the id is not recognised -02:15 is not recognised",1.44e+12,"java;c","Professional_Developer","Female","University",4,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,555191,"I have got simpler questions in this HIT on locale.I hope my answers get useful to your research","","",284,38,1,18,50.5323886,1,1,825,16,305,1644.656814,23,18,284,FALSE,"variable","","284;285;286;288",4,4,FALSE,"HIT06_51",0.511037248124214,4,0.65282154944554,TRUE
"82",51,"Tue 2015 Jul 07 09:12:50.865","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT03_6","229Ai0A-8I-240","18","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 76 and 78 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,1,151136,"This line cannot throw the exception referenced.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",76,85,3,32,101.4376,3,2,657,10,340,1991.713538,23,16,76,FALSE,"conditional","","76;77",2,3,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"86",53,"Tue 2015 Jul 07 09:12:58.327","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT03_6","230EA-4E-3E0-21","17","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'out' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,3,2,196761,"You have to pass a Writer in the arguments for translate; which is than checked to make sure it is not null. If it was not passed correctly it should throw an exception. It is used correctly in the out. Write can take an array of chars; which it is.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",75,80,2,16,55.3509059,1,1,657,10,340,1991.713538,23,16,75,FALSE,"variable","","75;76;85;88",3,4,TRUE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"88",54,"Tue 2015 Jul 07 09:13:19.013","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT03_6","229Ai0A-8I-240","29","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'write'  at line  88 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,5,1,28148,"This line cannot throw the exception referenced.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",88,13,1,19,38,1,1,657,10,340,1991.713538,23,16,88,FALSE,"method invocation","","88",1,1,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"95",58,"Tue 2015 Jul 07 09:15:57.611","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT03_6","230EA-4E-3E0-21","28","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'toChars; codePointAt'  at line  87 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,3,3,179284,"It gets the character code and then converts it to a char from the CharSequence; input.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",87,64,1,28,88.75790004,1,1,657,10,340,1991.713538,23,16,87,FALSE,"method invocation","","87",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"101",62,"Tue 2015 Jul 07 09:17:44.734","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT03_6","230EA-4E-3E0-21","22","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'length'  at line  83 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",3,4,2,107123,"length returns how long theCharSequence is; it is not starting with 0 for 1 length. 0 would mean it is 0 length; therefore it would be empty. It is 1 too high for length; you should subtract 1 from length() to correct it.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",83,25,1,13,33.60451251,1,1,657,10,340,1991.713538,23,16,83,FALSE,"method invocation","","83;89",1,1,FALSE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"107",66,"Tue 2015 Jul 07 09:21:12.883","MICROTASK","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8","432CE0E-3e-7-31","2","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 273 and 275 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,4,949159,"There is a static field named UTC ;which will return Universal coordinated time",1.44e+12,"java;c","Professional_Developer","Female","University",4,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,555191,"I have got simpler questions in this HIT on locale.I hope my answers get useful to your research","","",273,70,4,38,126.2332676,3,2,825,16,305,1644.656814,23,18,273,FALSE,"conditional","","273;274",2,2,TRUE,"HIT01_8",0.880821906012702,4,0.663004301766892,TRUE
