% 1. Title: Consent file from Experiment TWO
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: July, 2015
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp STRING
@ATTRIBUTE event  {CONSENT,SURVEY,SKILLTEST,FEEDBACK}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE consent_date NUMERIC
@ATTRIBUTE language STRING
@ATTRIBUTE profession String
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell,Other}
@ATTRIBUTE learned STRING
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC
@ATTRIBUTE test1 {0,1}
@ATTRIBUTE test2 {0,1}
@ATTRIBUTE test3 {0,1}
@ATTRIBUTE test4 {0,1}
@ATTRIBUTE test5 {0,1}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE quit_reason STRING

@DATA
Tue 2015 Jul 07 08:18:49.408,CONSENT,8cG4c-7e-460_3,HIT02_24,1.436271386556E12,"Javascript","Undergraduate_Student",Female,"University;Web",2,"United States",22,0,1,0,0,0,1,142852.0,,
Tue 2015 Jul 07 08:16:35.204,CONSENT,9CG0A-2g3-80_3,HIT02_24,1.436271395204E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 09:21:39.428,CONSENT,358ig-7C7C5-1-2:10EI0c-3A0-3-9_3,HIT02_24,1.436271398036E12,"SQL","Professional_Developer",Male,"University",5,"USA",32,1,0,1,1,0,3,1785444.0,"I enjoyed this and thought it was interesting",
Tue 2015 Jul 07 08:20:27.127,CONSENT,11ga7i-5C-15-1_3,HIT02_24,1.43627139959E12,"unknown","Hobbyist",Female,"Web",0,"United States",29,0,0,0,0,0,0,227537.0,,
Tue 2015 Jul 07 08:16:45.799,CONSENT,12Aa-1i0e9-2-7_3,HIT02_24,1.436271405799E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:17:05.053,CONSENT,13ei8I-2G281_3,HIT02_24,1.436271425053E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:19:39.616,CONSENT,14Ca0I-1G-602_3,HIT02_24,1.43627144581E12,"java","Hobbyist",Male,"Web",1,"usa",23,0,0,0,0,0,0,133806.0,,
Tue 2015 Jul 07 09:19:25.449,CONSENT,27Ei-8i0A-3-59:15cG-7i7C996_3,HIT02_24,1.436271498276E12,"RPG; Visual Basic","Professional_Developer",Male,"High_School;University",23,"USA",44,1,0,1,1,1,4,738056.0,"Very much enjoyed that. I haven't coded in a while so it was great to flex that part of my brain again. I love troubleshooting code in languages I don't know. It is really fun.",
Tue 2015 Jul 07 08:37:00.234,CONSENT,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3,HIT02_24,1.436271505954E12,"Java","Professional_Developer",Male,"High_School;University;Web",8,"USA",29,1,1,1,1,1,5,233903.0,"I'd like to be able to go back; as I noticed something on the last question that I did not see earlier.",
Tue 2015 Jul 07 08:21:10.998,CONSENT,17ge4i-2g-785_3,HIT02_24,1.436271523685E12,"none","Hobbyist",Female,"University;Web",0,"United States",39,1,0,0,0,0,1,147313.0,,
Tue 2015 Jul 07 08:26:45.946,CONSENT,18GA-4a-5e-5-8-5_3,HIT02_24,1.436271550136E12,"javascript; python","Undergraduate_Student",Male,"University;Web",1,"United States",22,1,0,1,1,1,4,455810.0,,
Tue 2015 Jul 07 08:21:08.274,CONSENT,19AA-4C4C-661_3,HIT02_24,1.436271559149E12,"A+","Graduate_Student",Female,"Web",1,"usa",35,0,1,0,1,0,2,109125.0,,
Tue 2015 Jul 07 08:25:13.365,CONSENT,20ge-8c-5c047_3,HIT02_24,1.436271584522E12,"PHP","Hobbyist",Female,"Web;Other_Self_taught",8,"USA",37,0,0,0,1,0,1,328843.0,,
Tue 2015 Jul 07 13:10:38.481,CONSENT,21cI-1i9c-41-7_3,HIT02_24,1.43627161634E12,"C; Java","Professional_Developer",Female,"University;Web",8,"India",27,1,1,1,1,1,5,1.6675083E7,"Its very hard task; but I am capable to do this",
Tue 2015 Jul 07 08:23:53.045,CONSENT,22gi-2G-3A-36-9_3,HIT02_24,1.436271632933E12,"C","Hobbyist",Male,"High_School;Web",10,"USA",34,0,1,0,0,0,1,200112.0,,
Tue 2015 Jul 07 08:21:30.184,CONSENT,23AI6g7A9-4-1_3,HIT02_24,1.436271690183E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:24:22.863,CONSENT,24Ci-3C-6i11-5_3,HIT02_24,1.436271794579E12,"Java","Undergraduate_Student",Male,"University",1,"US",34,0,0,1,0,0,1,68284.0,,
Tue 2015 Jul 07 08:23:25.711,CONSENT,25Ec0E-5E640_3,HIT02_24,1.436271805711E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:24:13.809,CONSENT,26aC8a-9a0-6-5_3,HIT02_24,1.436271838984E12,"1","Professional_Developer",Female,"Web",1,"USA",40,,,,,,,,,
Tue 2015 Jul 07 08:24:46.939,CONSENT,27IA-7a5c8-7-1_3,HIT02_24,1.436271886938E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:26:17.400,CONSENT,28aA-6A0E-5-28_3,HIT02_24,1.436271897043E12,"HTML","Hobbyist",Male,"High_School;Web",5,"USA",29,,,,,,,,,
Tue 2015 Jul 07 08:27:50.212,CONSENT,29iC-5i-1I2-1-3_3,HIT02_24,1.43627189835E12,"j++","Undergraduate_Student",Male,"University",1,"india",29,,,,,,,,,
Tue 2015 Jul 07 08:38:25.716,CONSENT,30EC-5i7E-4-6-5_3,HIT02_24,1.436271899254E12,"None","Hobbyist",Male,"Other_None",0,"United States",24,0,0,0,1,0,1,150808.0,,
Tue 2015 Jul 07 12:22:15.295,CONSENT,31ag-3E-6E0-3-1_3,HIT02_24,1.436271910447E12,"Java","Professional_Developer",Male,"University;Web",5,"India",27,,,,,,,,,
Tue 2015 Jul 07 08:25:19.780,CONSENT,32ga2i-8g-6-9-8_3,HIT02_24,1.43627191978E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:32:38.090,CONSENT,33cE-5G3g-5-4-7_3,HIT02_24,1.436271959429E12,"PHP","Hobbyist",Female,"Web",8,"USA",37,0,0,0,1,1,2,398661.0,,
Tue 2015 Jul 07 08:26:06.104,CONSENT,34AC-4E8i678_3,HIT02_24,1.436271966104E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:54:49.644,CONSENT,35Eg-6i-8G-2-6-8_3,HIT02_24,1.436271978727E12,"php","Undergraduate_Student",Female,"University",3,"US",49,0,1,0,1,1,3,389938.0,"I'm not sure what's going on here",
Tue 2015 Jul 07 08:27:03.325,CONSENT,36Ec0G3a-50-9_3,HIT02_24,1.436272023325E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:31:02.808,CONSENT,37gG-2g4e932_3,HIT02_24,1.436272032658E12,"none","Hobbyist",Female,"Other_no_where",0,"USA",21,0,0,0,1,1,2,230150.0,,
Tue 2015 Jul 07 08:28:49.047,CONSENT,38Ag-2A8C-2-19_3,HIT02_24,1.436272038576E12,"Java","Graduate_Student",Female,"High_School;University;Web",8,"usa",26,0,0,0,0,0,0,90471.0,,
Tue 2015 Jul 07 08:27:54.290,CONSENT,39iG-7c-2G-51-4_3,HIT02_24,1.436272074289E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:28:10.867,CONSENT,40ce-2e-5e-4-3-9_3,HIT02_24,1.436272090867E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:47:11.362,CONSENT,41ig8g9E-790_3,HIT02_24,1.436272091596E12,"Java","Graduate_Student",Male,"University",2,"India",26,0,0,0,1,0,1,876045.0,,
Tue 2015 Jul 07 08:32:49.159,CONSENT,42IE2A-6G-99-7_3,HIT02_24,1.436272177729E12,"C","Hobbyist",Female,"High_School",1,"USA",49,0,0,1,1,0,2,191430.0,,
Tue 2015 Jul 07 08:38:04.742,CONSENT,43CC4C7e-8-5-1_3,HIT02_24,1.436272187062E12,"none","Other MTurk Worker",Female,"Other_no",0,"US",62,0,0,0,0,1,1,497680.0,,
Tue 2015 Jul 07 08:38:05.051,CONSENT,44aI-3I-4i9-1-8_3,HIT02_24,1.43627220879E12,"C","Professional_Developer",Male,"University",4,"USA",25,0,0,0,1,1,2,406417.0,,
Tue 2015 Jul 07 08:31:45.383,CONSENT,45GI4e4I-2-75_3,HIT02_24,1.436272227394E12,"english","Graduate_Student",Male,"University",1,"Roumania",25,0,0,0,1,1,2,77989.0,,
Tue 2015 Jul 07 08:39:43.377,CONSENT,46Ga-3A6e722_3,HIT02_24,1.436272327376E12,"Java","Hobbyist",Male,"Web",3,"India",32,0,1,0,1,0,2,456001.0,,
Tue 2015 Jul 07 08:41:08.725,CONSENT,47iE8g8E488_3,HIT02_24,1.436272404242E12,"html","Other teaching professional",Male,"Web",1,"india",32,0,1,0,1,0,2,364732.0,,
Tue 2015 Jul 07 08:33:33.906,CONSENT,48ae-4g5E108_3,HIT02_24,1.436272413905E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:33:35.381,CONSENT,49AI2E-5i-608_3,HIT02_24,1.436272415381E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:40:41.134,CONSENT,50AE8e9G-550_3,HIT02_24,1.436272444793E12,"NA","Other Accountant",Female,"University",0,"USA",25,0,0,0,1,0,1,396341.0,,
Tue 2015 Jul 07 08:34:31.285,CONSENT,51ge9G5c-870_3,HIT02_24,1.436272471285E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:35:23.526,CONSENT,52gE-4E4a0-4-7_3,HIT02_24,1.436272523526E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:37:07.496,CONSENT,53Ag-7I-2A-2-56_3,HIT01_8,1.436272627496E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:50:00.807,CONSENT,54gG-7g7A92-5_3,HIT02_24,1.436272629108E12,"j++","Undergraduate_Student",Male,"University",1,"india",29,0,1,0,0,0,1,699920.0,,
Tue 2015 Jul 07 08:37:23.397,CONSENT,55eg3A1g1-8-9_3,HIT01_8,1.436272643397E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:38:36.868,CONSENT,56iE7C-8i046_3,HIT01_8,1.436272658874E12,"english","Hobbyist",Male,"High_School",1,"usa",24,,,,,,,,,
Tue 2015 Jul 07 08:37:48.666,CONSENT,57Ge1C-2e-33-6_3,HIT01_8,1.436272668666E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:37:54.083,CONSENT,58Ag0i-7i4-58_3,HIT01_8,1.436272674083E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 09:07:41.368,CONSENT,59aa7c-2A0-38_3,HIT01_8,1.436272682486E12,"SQL","Other Information Systems Specialist",Male,"Other_On_the_job",7,"USA",36,0,0,0,0,0,0,760997.0,,
Tue 2015 Jul 07 09:08:39.063,SURVEY,44aI-3I-4i9-1-8_3,HIT01_8,1.43627220879E12,"C","Professional_Developer",Male,"University",5,"USA",25,,,,,,,,,
Tue 2015 Jul 07 08:38:20.347,CONSENT,60Ee-1G-3C-43-2_3,HIT02_24,1.436272700347E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:40:24.345,CONSENT,61iC9c1G968_3,HIT01_8,1.436272705733E12,"C++","Hobbyist",Male,"Web",1,"United States",29,0,0,0,1,1,2,118612.0,,
Tue 2015 Jul 07 08:38:37.049,CONSENT,62ie3i1E101_3,HIT01_8,1.436272717049E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:38:48.377,SURVEY,30EC-5i7E-4-6-5_3,HIT01_8,,"None","Hobbyist",Male,"Other_None",0,"United States",24,,,,,,,,,
Tue 2015 Jul 07 08:39:16.345,CONSENT,63CE7e-7A7-71_3,HIT01_8,1.436272729395E12,"java","Hobbyist",Female,"Web",2,"usa",35,,,,,,,,,
Tue 2015 Jul 07 09:06:57.999,CONSENT,64ee4e0C-38-1_3,HIT01_8,1.436272735488E12,"english","Professional_Developer",Female,"University",5,"india",29,0,0,0,0,0,0,1682511.0,,
Tue 2015 Jul 07 08:39:19.855,CONSENT,65Ec3i-4a-5-20_3,HIT01_8,1.436272759855E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:45:53.320,CONSENT,66GI-3E0i-4-83_3,HIT01_8,1.436272764955E12,"Html","Undergraduate_Student",Female,"High_School;University;Web",5,"USA",23,,,,,,,,,"TOO_DIFFICULT"
Tue 2015 Jul 07 08:41:41.285,CONSENT,67aC0C4E810_3,HIT01_8,1.436272772732E12,"C++","Undergraduate_Student",Female,"Web",0,"United States",27,0,0,0,0,0,0,128553.0,,
Tue 2015 Jul 07 08:41:19.134,CONSENT,68Ie9I8e0-7-3_3,HIT01_8,1.436272776405E12,"English","Graduate_Student",Male,"High_School;University;Web",5,"India",24,0,0,1,0,1,2,102729.0,,
Tue 2015 Jul 07 08:39:40.723,CONSENT,69eA-3A-5a00-6_3,HIT01_8,1.436272780723E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:56:12.772,CONSENT,70aA-7a-2A5-15_3,HIT01_8,1.436272781725E12,"J2EE; VB.NET; JAVA","Graduate_Student",Male,"University",8,"India",26,1,0,0,0,0,1,921329.0,,
Tue 2015 Jul 07 08:40:02.794,CONSENT,71Ci3A4i306_3,HIT01_8,1.436272802794E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 09:34:51.759,CONSENT,33ac-3i3I5-8-3:72ag4C-7e4-1-9_3,HIT01_8,1.436272807697E12,"Python; Elixir","Hobbyist",Male,"Web",13,"United States of America",39,1,1,1,1,1,5,439316.0,"It isn't quite clear how you want us to respond to these questions. You ask specifically about the highlighted piece of code. You seem to want us to answer whether that section of code causes the specific problem seen.    If the highlighted code has other problems we should ignore that? If we know where the problem is and it is not in the highlighted region should we cite that as our explanation or do you want our answer to be justified by the highlighted code. For example; provide an explanation why the highlighted code can't be causing the problems seen.    I spotted the error almost immediately but it took me a while to figure out what to say in terms of explanation because the error wasn't in the highlighted section. With no examples I really had to guess at the type of feedback you wanted. Some examples of code with errors documented would go a long way in clarifying this task and would make it much easier.    It really is unclear if your goal is to find the error and the highlighted code is just a suggesting of where to start looking or if you want people to give reasons why the highlighted code may or may not be the problem. The first case might represent a situation where you are simply trying to judge how effective or harmful suggestions are in finding errors. Do false positives cause fewer error to be detected? The latter case may be geared towards collecting data to improve automated debugging tools. The feedback could be used to build models that rate the probability a certain section of code is causing the error. Then again you could have a different purpose entirely. I suspect though that a few examples would greatly improve the quality of response you receive.    Thank you.",
Tue 2015 Jul 07 09:09:41.566,CONSENT,832cg-7G1i-462:73eI-8E-2g-985_3,HIT01_8,1.436272817474E12,"Java; C++; C#","Undergraduate_Student",Male,"High_School;Web",7,"United States",21,1,1,1,0,1,4,228741.0,"Enjoyable! Was fun working out if there was a problem.",
Tue 2015 Jul 07 08:40:19.980,CONSENT,74eg0e7I0-44_3,HIT01_8,1.43627281998E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:44:38.772,CONSENT,75aE-6i4E-140_3,HIT01_8,1.436272820111E12,"C#","Professional_Developer",Male,"High_School;University;Other_On_the_job",20,"United States",38,1,1,1,1,0,4,258661.0,,
Tue 2015 Jul 07 08:41:25.729,CONSENT,76Ci9E-1i0-6-9_3,HIT01_8,1.436272837831E12,"Java C++","Hobbyist",Male,"University",7,"USA",29,0,1,0,1,0,2,47898.0,,
Tue 2015 Jul 07 08:40:40.708,CONSENT,77CE6A-6A101_3,HIT01_8,1.436272840708E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:40:42.534,FEEDBACK,3AI7C4g38-9_3,HIT01_8,,,,,,,,,,,,,,,,"Thank you",
Tue 2015 Jul 07 08:40:43.622,CONSENT,78aE4i5A9-70_3,HIT01_8,1.436272843622E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:40:59.057,CONSENT,79GE-3a6G7-98_3,HIT01_8,1.436272859057E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:41:15.281,CONSENT,80GI0A2a81-7_3,HIT01_8,1.436272875281E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 09:52:55.175,CONSENT,81Ag0a-3A550_3,HIT01_8,1.43627288346E12,"Cobal","Hobbyist",Male,"University",0,"USA",60,0,0,0,0,0,0,4291715.0,,
Tue 2015 Jul 07 08:41:38.289,SURVEY,47iE8g8E488_3,HIT01_8,,"html","Other teaching professional",Male,"Web",1,"india",32,,,,,,,,,
Tue 2015 Jul 07 08:42:13.928,CONSENT,82gA-4g2a-407_3,HIT01_8,1.43627291589E12,"Java","Undergraduate_Student",Female,"University",4,"USA",24,,,,,,,,,
Tue 2015 Jul 07 08:43:04.218,CONSENT,83II4c0G-905_3,HIT01_8,1.436272948544E12,"C++","Hobbyist",Female,"Other_fiancee",3,"United States",32,,,,,,,,,
Tue 2015 Jul 07 08:42:44.624,CONSENT,84cI-8g-5E-7-30_3,HIT01_8,1.436272964624E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 11:29:11.423,CONSENT,85EG-9G-9A73-8_3,HIT02_24,1.436273016495E12,"None","Other Teacher",Female,"Other_na",0,"USA",38,0,1,0,1,1,3,250128.0,"Hope I did okay. I did minimal coding years ago on a TRS-80!",
Tue 2015 Jul 07 09:10:19.729,FEEDBACK,23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3,HIT01_8,1.436271505954E12,,,,,,,,,,,,,,,"",
Tue 2015 Jul 07 08:43:44.826,CONSENT,86Ca-6E-6i474_3,HIT01_8,1.436273024825E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:43:52.406,CONSENT,87aa9E-6A5-22_3,HIT01_8,1.436273032406E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:46:31.983,CONSENT,88Ae2a2C33-9_3,HIT01_8,1.436273052097E12,"Ruby; Python; HTML; CSS","Professional_Developer",Male,"Web",4,"USA",26,0,0,0,0,0,0,139886.0,,
Tue 2015 Jul 07 08:45:27.954,CONSENT,89Ic3g-8c-261_3,HIT01_8,1.436273054682E12,"df","Undergraduate_Student",Male,"High_School",2,"no",33,0,0,0,0,0,0,73272.0,,
Tue 2015 Jul 07 08:44:48.922,SURVEY,2ag5c3i5-96_3,HIT01_8,,"visual basics","Hobbyist",Male,"High_School",2,"usa",28,,,,,,,,,
Tue 2015 Jul 07 10:43:31.155,CONSENT,90Ai-9A0a-8-28_3,HIT01_8,1.436273093029E12,"PHP","Hobbyist",Male,"Web",30,"USA",44,,,,,,,,,
Tue 2015 Jul 07 08:50:56.540,CONSENT,91Ae6A2C2-34_3,HIT01_8,1.43627309304E12,"html 5; java; css; c","Hobbyist",Prefer_not_to_tell,"High_School;Web",2,"USA",23,1,1,0,0,0,2,363500.0,,
Tue 2015 Jul 07 09:03:01.282,CONSENT,92cE-7e-3G-99-6_3,HIT01_8,1.436273097239E12,"C#; C++;","Other Employed",Male,"Web",2,"India",32,0,0,0,1,0,1,1084043.0,,
Tue 2015 Jul 07 08:45:19.658,CONSENT,93Cg-4g0c-21-1_3,HIT01_8,1.436273119658E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 11:48:26.315,CONSENT,94CA2E-8e-485:14aa-9a8A-9-86_3,HIT01_8,1.436273129733E12,"HTML;CSS","Professional_Developer",Male,"University",15,"USA",45,1,1,1,1,1,5,834004.0,"This was a fun test. I think I wrongly said in one test that there is a issue with line 285; but actually the error is thrown even before execution of line 285. I think that was in the first question.  Thank you",
Tue 2015 Jul 07 08:46:41.663,CONSENT,95Ag-5c0c-1-13_3,HIT01_8,1.436273158951E12,"java; php; c++","Graduate_Student",Male,"University",3,"india",25,,,,,,,,,
Tue 2015 Jul 07 08:49:44.769,CONSENT,96GC-5a-2g0-58_3,HIT01_8,1.4362731683E12,"java","Undergraduate_Student",Female,"Web",1,"USA",19,,,,,,,,,"TOO_DIFFICULT"
Tue 2015 Jul 07 08:56:54.353,CONSENT,270ie-2C-4c-550:97ai0I-8C871_3,HIT01_8,1.436273170892E12,"C","Professional_Developer",Male,"University",5,"USA",25,1,1,1,0,1,4,42864.0,"This was fun!",
Tue 2015 Jul 07 09:02:31.942,CONSENT,98ce7A-4i-507_3,HIT01_8,1.43627317546E12,"c#","Undergraduate_Student",Female,"High_School;University;Web",10,"United States",25,1,1,1,1,0,4,387311.0,"",
Tue 2015 Jul 07 08:47:57.852,CONSENT,99II-4i-1c604_3,HIT02_24,1.436273193076E12,"C+","Hobbyist",Female,"Web",1,"USA",54,,,,,,,,,
Tue 2015 Jul 07 08:47:34.764,CONSENT,100Gi-4i6A-76-1_3,HIT01_8,1.436273209322E12,"scratch; python","Other elementary school teacher",Female,"Other_self_taught",0,"USA",43,,,,,,,,,
Tue 2015 Jul 07 09:00:29.673,CONSENT,101CE0E8G-6-88_3,HIT02_24,1.436273242625E12,"c++; java","Undergraduate_Student",Male,"University",3,"united states",23,0,1,1,1,0,3,172985.0,"Instructions were clear",
Tue 2015 Jul 07 08:52:24.650,CONSENT,102ac6E-3E-2-9-8_3,HIT01_8,1.436273246065E12,"Java; C++","Professional_Developer",Female,"University;Web",3,"India",27,0,0,0,0,0,0,298585.0,,
Tue 2015 Jul 07 08:47:35.618,SURVEY,41ig8g9E-790_3,HIT01_8,,"Java","Graduate_Student",Male,"University",2,"India",26,,,,,,,,,
Tue 2015 Jul 07 08:47:38.885,CONSENT,103ee8e-7i-230_3,HIT01_8,1.436273258885E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:52:17.746,CONSENT,104AE1A-1i-10-1_3,HIT01_8,1.436273318356E12,"c++","Undergraduate_Student",Female,"University",1,"USA",23,0,0,0,1,0,1,219390.0,,
Tue 2015 Jul 07 08:48:43.474,CONSENT,105iC2E-4I364_3,HIT02_24,1.436273323474E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 09:10:31.158,CONSENT,106IA8G0g-319_3,HIT01_8,1.436273323847E12,"PHP","Graduate_Student",Male,"University;Web",3,"UK",37,1,0,0,0,0,1,1307311.0,,
Tue 2015 Jul 07 08:51:51.194,CONSENT,107Ii7a2g0-61_3,HIT02_24,1.436273360591E12,"(JRE) 32bits","Hobbyist",Male,"Web",1,"INDIA",36,,,,,,,,,
Tue 2015 Jul 07 08:50:58.915,CONSENT,108gg-8C-1i916_3,HIT02_24,1.43627336063E12,"JAVA","Graduate_Student",Male,"University",6,"USA",22,0,0,0,0,1,1,98285.0,,
Tue 2015 Jul 07 08:49:39.503,CONSENT,109ia2G-1g89-3_3,HIT01_8,1.436273379503E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:51:16.496,CONSENT,110iC-5a-6I0-8-6_3,HIT01_8,1.436273404692E12,"0","Other PT Worker",Male,"Web",0,"USA",48,,,,,,,,,
Tue 2015 Jul 07 09:39:08.028,CONSENT,111gC5I-5c-91-5_3,HIT01_8,1.436273408717E12,"python; java; php","Hobbyist",Female,"Web",15,"USA",31,,,,,,,,,
Tue 2015 Jul 07 08:50:08.798,CONSENT,112ce8C5I6-39_3,HIT01_8,1.436273408798E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:50:12.050,SURVEY,54gG-7g7A92-5_3,HIT01_8,,"j++","Undergraduate_Student",Male,"University",1,"india",29,,,,,,,,,
Tue 2015 Jul 07 08:50:16.372,CONSENT,113Gg-5I6a-849_3,HIT01_8,1.436273416372E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:50:37.821,CONSENT,114Ic5g-9G690_3,HIT01_8,1.436273437821E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:52:00.085,CONSENT,115ii1C-1e9-97_3,HIT01_8,1.436273471796E12,"none","Undergraduate_Student",Male,"Other_Didn't",0,"USA",25,,,,,,,,,
Tue 2015 Jul 07 08:51:50.798,CONSENT,116ei-1c-6e31-7_3,HIT01_8,1.436273510798E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 13:19:26.253,CONSENT,519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3,HIT01_8,1.436273520036E12,"Java; C","Professional_Developer",Female,"University",5,"USA",30,1,1,1,0,1,4,387025.0,"Great task on Timezones;Good exercise on DateTimezone",
Tue 2015 Jul 07 08:53:41.893,CONSENT,118ae-9C-7a3-9-9_3,HIT01_8,1.436273529262E12,"Ruby","Undergraduate_Student",Male,"Web",5,"usa",45,,,,,,,,,
Tue 2015 Jul 07 08:52:22.066,CONSENT,119eI6a-7G121_3,HIT01_8,1.436273542066E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:55:11.889,CONSENT,120ea-8i5i180_3,HIT01_8,1.43627355648E12,"HTML; CSS; JAVA; XHTML","Hobbyist",Female,"Web",5,"USA",31,,,,,,,,,
