"","time_stamp","event","worker_id","file_name","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score","test_duration","feedback","quit_reason","Obs","Exp","irt_qualification_score","irt_qualification_score.standard_error"
"34","Tue2015Jul0708:40:24.345","CONSENT","61iC9c1G968_3","HIT01_8",1436272705733,"C++","Hobbyist","Male","Web",1,"United States",29,"0","0","0","1","1",2,118612,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"35","Tue2015Jul0709:06:57.999","CONSENT","64ee4e0C-38-1_3","HIT01_8",1436272735488,"english","Professional_Developer","Female","University",5,"india",29,"0","0","0","0","0",0,1682511,NA,NA,271,320.219929518008,0,0.64170788576225
"36","Tue2015Jul0708:41:41.285","CONSENT","67aC0C4E810_3","HIT01_8",1436272772732,"C++","Undergraduate_Student","Female","Web",0,"United States",27,"0","0","0","0","0",0,128553,NA,NA,271,320.219929518008,0,0.64170788576225
"37","Tue2015Jul0708:41:19.134","CONSENT","68Ie9I8e0-7-3_3","HIT01_8",1436272776405,"English","Graduate_Student","Male","High_School;University;Web",5,"India",24,"0","0","1","0","1",2,102729,NA,NA,12,11.4813337943631,0.932947780383672,0.400173829556418
"38","Tue2015Jul0708:56:12.772","CONSENT","70aA-7a-2A5-15_3","HIT01_8",1436272781725,"J2EE; VB.NET; JAVA","Graduate_Student","Male","University",8,"India",26,"1","0","0","0","0",1,921329,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"39","Tue2015Jul0709:34:51.759","CONSENT","33ac-3i3I5-8-3:72ag4C-7e4-1-9_3","HIT01_8",1436272807697,"Python; Elixir","Hobbyist","Male","Web",13,"United States of America",39,"1","1","1","1","1",5,439316,"It isn't quite clear how you want us to respond to these questions. You ask specifically about the highlighted piece of code. You seem to want us to answer whether that section of code causes the specific problem seen.    If the highlighted code has other problems we should ignore that? If we know where the problem is and it is not in the highlighted region should we cite that as our explanation or do you want our answer to be justified by the highlighted code. For example; provide an explanation why the highlighted code can't be causing the problems seen.    I spotted the error almost immediately but it took me a while to figure out what to say in terms of explanation because the error wasn't in the highlighted section. With no examples I really had to guess at the type of feedback you wanted. Some examples of code with errors documented would go a long way in clarifying this task and would make it much easier.    It really is unclear if your goal is to find the error and the highlighted code is just a suggesting of where to start looking or if you want people to give reasons why the highlighted code may or may not be the problem. The first case might represent a situation where you are simply trying to judge how effective or harmful suggestions are in finding errors. Do false positives cause fewer error to be detected? The latter case may be geared towards collecting data to improve automated debugging tools. The feedback could be used to build models that rate the probability a certain section of code is causing the error. Then again you could have a different purpose entirely. I suspect though that a few examples would greatly improve the quality of response you receive.    Thank you.",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"40","Tue2015Jul0709:09:41.566","CONSENT","832cg-7G1i-462:73eI-8E-2g-985_3","HIT01_8",1436272817474,"Java; C++; C#","Undergraduate_Student","Male","High_School;Web",7,"United States",21,"1","1","1","0","1",4,228741,"Enjoyable! Was fun working out if there was a problem.",NA,82,83.554634405252,1.84701350156545,0.534110571891259
"41","Tue2015Jul0708:44:38.772","CONSENT","75aE-6i4E-140_3","HIT01_8",1436272820111,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"United States",38,"1","1","1","1","0",4,258661,NA,NA,71,90.9790453429997,1.64380387577367,0.480605284673084
"42","Tue2015Jul0708:41:25.729","CONSENT","76Ci9E-1i0-6-9_3","HIT01_8",1436272837831,"Java C++","Hobbyist","Male","University",7,"USA",29,"0","1","0","1","0",2,47898,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"43","Tue2015Jul0709:52:55.175","CONSENT","81Ag0a-3A550_3","HIT01_8",1436272883460,"Cobal","Hobbyist","Male","University",0,"USA",60,"0","0","0","0","0",0,4291715,NA,NA,271,320.219929518008,0,0.64170788576225
"44","Tue2015Jul0711:29:11.423","CONSENT","85EG-9G-9A73-8_3","HIT02_24",1436273016495,"None","Other Teacher","Female","Other_na",0,"USA",38,"0","1","0","1","1",3,250128,"Hope I did okay. I did minimal coding years ago on a TRS-80!",NA,51,22.0329810248658,0.936344292346508,0.399960824511498
"45","Tue2015Jul0708:46:31.983","CONSENT","88Ae2a2C33-9_3","HIT01_8",1436273052097,"Ruby; Python; HTML; CSS","Professional_Developer","Male","Web",4,"USA",26,"0","0","0","0","0",0,139886,NA,NA,271,320.219929518008,0,0.64170788576225
"46","Tue2015Jul0708:45:27.954","CONSENT","89Ic3g-8c-261_3","HIT01_8",1436273054682,"df","Undergraduate_Student","Male","High_School",2,"no",33,"0","0","0","0","0",0,73272,NA,NA,271,320.219929518008,0,0.64170788576225
"47","Tue2015Jul0708:50:56.540","CONSENT","91Ae6A2C2-34_3","HIT01_8",1436273093040,"html 5; java; css; c","Hobbyist","Prefer_not_to_tell","High_School;Web",2,"USA",23,"1","1","0","0","0",2,363500,NA,NA,24,36.1597957747839,1.06585713882005,0.396804266779271
"48","Tue2015Jul0709:03:01.282","CONSENT","92cE-7e-3G-99-6_3","HIT01_8",1436273097239,"C#; C++;","Other Employed","Male","Web",2,"India",32,"0","0","0","1","0",1,1084043,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"49","Tue2015Jul0711:48:26.315","CONSENT","94CA2E-8e-485:14aa-9a8A-9-86_3","HIT01_8",1436273129733,"HTML;CSS","Professional_Developer","Male","University",15,"USA",45,"1","1","1","1","1",5,834004,"This was a fun test. I think I wrongly said in one test that there is a issue with line 285; but actually the error is thrown even before execution of line 285. I think that was in the first question.  Thank you",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"50","Tue2015Jul0708:56:54.353","CONSENT","270ie-2C-4c-550:97ai0I-8C871_3","HIT01_8",1436273170892,"C","Professional_Developer","Male","University",5,"USA",25,"1","1","1","0","1",4,42864,"This was fun!",NA,82,83.554634405252,1.84701350156545,0.534110571891259
"51","Tue2015Jul0709:02:31.942","CONSENT","98ce7A-4i-507_3","HIT01_8",1436273175460,"c#","Undergraduate_Student","Female","High_School;University;Web",10,"United States",25,"1","1","1","1","0",4,387311,NA,NA,71,90.9790453429997,1.64380387577367,0.480605284673084
"52","Tue2015Jul0709:00:29.673","CONSENT","101CE0E8G-6-88_3","HIT02_24",1436273242625,"c++; java","Undergraduate_Student","Male","University",3,"united states",23,"0","1","1","1","0",3,172985,"Instructions were clear",NA,7,24.9543335880249,1.06022942348209,0.396742910944041
"53","Tue2015Jul0708:52:24.650","CONSENT","102ac6E-3E-2-9-8_3","HIT01_8",1436273246065,"Java; C++","Professional_Developer","Female","University;Web",3,"India",27,"0","0","0","0","0",0,298585,NA,NA,271,320.219929518008,0,0.64170788576225
"54","Tue2015Jul0708:52:17.746","CONSENT","104AE1A-1i-10-1_3","HIT01_8",1436273318356,"c++","Undergraduate_Student","Female","University",1,"USA",23,"0","0","0","1","0",1,219390,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"55","Tue2015Jul0709:10:31.158","CONSENT","106IA8G0g-319_3","HIT01_8",1436273323847,"PHP","Graduate_Student","Male","University;Web",3,"UK",37,"1","0","0","0","0",1,1307311,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"56","Tue2015Jul0708:50:58.915","CONSENT","108gg-8C-1i916_3","HIT02_24",1436273360630,"JAVA","Graduate_Student","Male","University",6,"USA",22,"0","0","0","0","1",1,98285,NA,NA,56,41.9500376556003,0.490904920256747,0.481040148485908
"57","Tue2015Jul0713:19:26.253","CONSENT","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8",1436273520036,"Java; C","Professional_Developer","Female","University",5,"USA",30,"1","1","1","0","1",4,387025,"Great task on Timezones;Good exercise on DateTimezone",NA,82,83.554634405252,1.84701350156545,0.534110571891259
"58","Tue2015Jul0708:54:10.898","CONSENT","121ci0A-8e-4-63_3","HIT01_8",1436273576969,"Java","Undergraduate_Student","Male","University",2,"United States",20,"0","1","0","0","0",1,73929,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"59","Tue2015Jul0708:59:01.331","CONSENT","122Ae5G4g68-1_3","HIT01_8",1436273580391,"VB; HTML; PHP","Other Past developer, now manager","Male","University",20,"USA",46,"1","0","0","0","0",1,360940,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"60","Tue2015Jul0708:56:07.735","CONSENT","124ge-3C-3E-864_3","HIT02_24",1436273606424,"java;html","Undergraduate_Student","Male","High_School;University;Web",4,"united states",20,"0","1","0","0","0",1,161311,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"61","Tue2015Jul0708:59:27.334","CONSENT","126ai5g-4g8-25_3","HIT01_8",1436273683271,".Net","Undergraduate_Student","Male","University",1,"USA",22,"0","0","0","0","0",0,284063,NA,NA,271,320.219929518008,0,0.64170788576225
"62","Wed2015Jul0807:20:25.717","CONSENT","817EE-1e2C78-7:129eE4a-1E-24-3_3","HIT02_24",1436354034603,"java","Hobbyist","Male","University",32,"USA",32,"1","0","0","1","1",3,70744,"ty!",NA,19,25.2181158515899,1.19530217514484,0.402952309891137
"63","Tue2015Jul0709:00:26.566","CONSENT","132eG2G-6G193_3","HIT02_24",1436273816597,"java","Undergraduate_Student","Male","University;Web",2,"usa",21,"0","1","0","1","0",2,209969,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"64","Tue2015Jul0709:02:34.106","CONSENT","133Eg9G-5I-7-6-5_3","HIT01_8",1436273860736,"C++","Other self employed","Female","University",3,"india",34,"0","0","0","0","0",0,293370,NA,NA,271,320.219929518008,0,0.64170788576225
"65","Tue2015Jul0709:33:57.884","CONSENT","134cI0C-4a99-8_3","HIT02_24",1436273875760,"java","Graduate_Student","Male","University",1,"usa",29,"0","0","0","1","0",1,2162124,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"66","Tue2015Jul0709:16:20.427","CONSENT","881AC0I2E-625:135cI3E-7e8-86_3","HIT01_8",1436273877143,"C++;Java;PHP","Professional_Developer","Male","High_School;University;Web",7,"United States",24,"1","1","1","1","1",5,161875,"Thank you for the fun HIT; it's nice to work with programming. I hope those who don't have much experience programming were able to successfully complete this HIT.",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"67","Tue2015Jul0709:00:23.314","CONSENT","136IA7e1G-9-3-1_3","HIT01_8",1436273961742,"Java","Professional_Developer","Male","University",5,"India",30,"1","0","0","0","0",1,61572,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"68","Tue2015Jul0709:02:51.911","CONSENT","137Ag-3A5G-1-20_3","HIT02_24",1436273965155,"C++","Undergraduate_Student","Male","High_School;University",5,"USA",26,"0","0","0","1","0",1,206756,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"69","Tue2015Jul0709:02:02.584","CONSENT","138iG0g7c-2-6-7_3","HIT01_8",1436273967138,"none","Other unemployed","Male","Web",0,"United States",28,"1","0","0","1","1",3,155446,NA,NA,19,25.2181158515899,1.19530217514484,0.402952309891137
"70","Tue2015Jul0709:11:38.392","CONSENT","139ga6a-3G761_3","HIT01_8",1436273979947,"JAVA","Professional_Developer","Male","University",4,"India",25,"1","1","1","1","1",5,304947,NA,NA,289,242.373478663306,2.11026901799144,0.610196140661512
"71","Tue2015Jul0709:04:28.306","CONSENT","141iE9c2c18-9_3","HIT01_8",1436274022034,"none","Other MTurker","Female","High_School;Web",1,"USA",35,"0","1","0","0","0",1,246272,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"72","Tue2015Jul0709:03:10.754","CONSENT","143IA4G2c934_3","HIT01_8",1436274064913,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"United States",38,"1","1","1","1","0",4,125841,NA,NA,71,90.9790453429997,1.64380387577367,0.480605284673084
"73","Tue2015Jul0709:26:52.729","CONSENT","146iC1I2g90-8_3","HIT01_8",1436274147526,"Dot net","Hobbyist","Female","University;Web;Other",3,"san jose CA",24,"0","0","0","1","0",1,1465203,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"74","Tue2015Jul0709:06:54.683","CONSENT","148eG-8g-2c556_3","HIT01_8",1436274149119,"Javascript; Ruby","Undergraduate_Student","Male","Web",1,"USA",30,"0","0","1","0","0",1,265564,NA,NA,80,31.8547186912028,0.655895334273279,0.439505351567357
"75","Tue2015Jul0709:23:25.859","CONSENT","150ea6i8c-80-7_3","HIT01_8",1436274177133,"HTMLS","Graduate_Student","Female","High_School",1,"U.S.A.",28,"0","0","0","0","0",0,1228726,NA,NA,271,320.219929518008,0,0.64170788576225
"76","Tue2015Jul0709:03:36.648","CONSENT","151AE-5c-4e2-67_3","HIT02_24",1436274186695,"java","Undergraduate_Student","Male","University;Web",3,"usa",20,"0","1","0","1","0",2,29953,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"77","Tue2015Jul0709:09:09.924","CONSENT","152cG5C-5A-40-2_3","HIT01_8",1436274197073,"C#","Hobbyist","Male","Web",5,"USA",33,"0","0","0","0","1",1,297905,NA,NA,56,41.9500376556003,0.490904920256747,0.481040148485908
"78","Tue2015Jul0709:14:41.632","CONSENT","154Cg-5g7C-8-4-8_3","HIT01_8",1436274229585,"HTML","Hobbyist","Male","High_School",1,"USA",24,"0","0","0","1","0",1,73932,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"79","Tue2015Jul0709:06:13.576","CONSENT","156AE-5C2G89-5_3","HIT01_8",1436274239118,"c","Graduate_Student","Female","University",1,"India",21,"1","0","0","0","0",1,134458,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"80","Tue2015Jul0709:08:20.267","CONSENT","157GE-3E0a2-4-9_3","HIT01_8",1436274299600,"none","Undergraduate_Student","Female","Other_nowhere",0,"usa",28,"0","1","0","0","0",1,200667,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"81","Tue2015Jul0709:17:41.095","CONSENT","158CA7e7a984_3","HIT01_8",1436274338964,"Basic","Hobbyist","Male","High_School",15,"United States",33,"0","0","0","0","0",0,564701,NA,NA,271,320.219929518008,0,0.64170788576225
"82","Tue2015Jul0709:13:04.915","CONSENT","159EG3a-6i-5-2-9_3","HIT01_8",1436274402638,"C++; Python","Professional_Developer","Male","University;Other_Job",10,"USA",42,"1","1","1","1","0",4,382277,NA,NA,71,90.9790453429997,1.64380387577367,0.480605284673084
"83","Tue2015Jul0713:16:31.945","CONSENT","67AI-8G5A71-3:163Aa0i0a963:161eg5c5I-649_3","HIT01_8",1436274427542,"none at present; most C and ksh in past","Other Retired Computer Programmer","Male","High_School;University;Other_got_better_at_work_working_with_experts",30,"US",61,"1","1","1","1","1",5,1331671,"Hope my first gets some feedback before I try another.",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"84","Tue2015Jul0709:10:37.899","CONSENT","165aI8e-3C-3-78_3","HIT03_6",1436274478820,"i don't know","Undergraduate_Student","Female","High_School",0,"usa",33,"0","0","0","0","0",0,159079,NA,NA,271,320.219929518008,0,0.64170788576225
"85","Tue2015Jul0709:11:10.878","CONSENT","167IC9C8A02-9_3","HIT03_6",1436274502699,"none","Other none","Female","High_School",0,"united states",24,"0","0","0","0","0",0,168179,NA,NA,271,320.219929518008,0,0.64170788576225
"86","Tue2015Jul0709:20:55.955","CONSENT","168EC-5a-8G646_3","HIT03_6",1436274544586,"SAS SQL","Undergraduate_Student","Female","Other_On_the_job",6,"USA",39,"1","0","0","1","0",2,711369,NA,NA,69,41.8797460004164,0.941097916043942,0.399673969975627
"87","Tue2015Jul0709:11:55.246","CONSENT","169Gg0e-9G2-6-7_3","HIT03_6",1436274578285,"Python","Hobbyist","Male","University",3,"us",24,"0","0","0","1","0",1,136961,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"88","Tue2015Jul0709:12:16.811","CONSENT","170ca-6g0A-6-3-8_3","HIT03_6",1436274597363,"C#; VB.NET","Professional_Developer","Male","High_School;University;Web",6,"USA",38,"0","0","0","0","0",0,139448,NA,NA,271,320.219929518008,0,0.64170788576225
"89","Tue2015Jul0709:16:58.308","CONSENT","171AI2C-1C-514_3","HIT03_6",1436274616148,"Asp.net; C++","Graduate_Student","Male","University",1,"India",23,"0","1","0","1","0",2,173610,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"90","Tue2015Jul0709:25:14.969","CONSENT","175Ie-7a2c02-4_3","HIT03_6",1436274716550,"Java","Undergraduate_Student","Male","High_School;Web",2,"USA",20,"0","0","0","0","0",0,798419,NA,NA,271,320.219929518008,0,0.64170788576225
"91","Tue2015Jul0709:31:16.502","CONSENT","94iC8I-7g2-6-9:176ac-2C-6e7-94_3","HIT03_6",1436274727346,"C#; C++","Professional_Developer","Male","High_School;University;Web;Other_1981_IBM_BASICA",30,"United States of America",42,"1","1","1","1","1",5,243887,NA,NA,289,242.373478663306,2.11026901799144,0.610196140661512
"92","Tue2015Jul0709:23:20.977","CONSENT","177gg7C6e-306_3","HIT01_8",1436274736310,"system languages","Hobbyist","Male","University;Web",1,"USA",28,"1","0","0","1","0",2,664667,NA,NA,69,41.8797460004164,0.941097916043942,0.399673969975627
"93","Tue2015Jul0709:19:09.267","CONSENT","178Ci-7G0E5-62_3","HIT03_6",1436274759965,"C","Professional_Developer","Male","University",5,"USA",25,"1","0","1","1","1",4,39445,NA,NA,37,48.4708177855312,1.64469725198131,0.480823443443963
"94","Tue2015Jul0709:22:09.556","CONSENT","179IA-9e5G5-1-9_3","HIT02_24",1436274770827,"LEARNING JQUERY NOW","Hobbyist","Female","Web",0,"USA",52,"0","0","0","0","0",0,558729,NA,NA,271,320.219929518008,0,0.64170788576225
"95","Tue2015Jul0709:19:43.014","CONSENT","180GA-7g-2i20-9_3","HIT03_6",1436274776338,"Java","Graduate_Student","Male","University",3,"United States",23,"0","0","0","0","0",0,406676,NA,NA,271,320.219929518008,0,0.64170788576225
"96","Tue2015Jul0710:36:37.384","CONSENT","181gi-1i8G-4-2-9_3","HIT01_8",1436274797567,"java","Undergraduate_Student","Male","University",2,"USA",26,"1","1","1","0","0",3,468284,NA,NA,58,45.8556476206555,1.47230454365533,0.44255741781143
"97","Tue2015Jul0710:22:12.487","CONSENT","815aA-9g-4e44-8:182Ae3g-6i-30-5_3","HIT03_6",1436274845380,"Python; SQL","Professional_Developer","Male","University;Other_On_the_job",5,"USA",29,"1","1","0","1","0",3,335869,"I enjoyed this task. I would be interested in doing more Java troubleshooting in the future.",NA,22,47.4322904734795,1.1946744562977,0.402901392443667
"98","Tue2015Jul0709:18:56.114","CONSENT","183EC9G-6E-4-40_3","HIT03_6",1436274869074,"php","Hobbyist","Female","University",2,"INDIA",45,"1","0","0","1","1",3,267040,NA,NA,19,25.2181158515899,1.19530217514484,0.402952309891137
