"","time_stamp","event","worker_id","consent_date","test1","test2","test3","test4","qualification_score","test_duration","feedback","gender","years_programming","difficulty","country","age","test1_","test2_","test3_","test4_","Obs","Exp","irt_qualification_score","irt_qualification_score.standard_error"
"30","2014 10 24 09:04:20.110000","CONSENT","35_1","1.414155860011E12","false","true","false","false",1,69672,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"31","2014 10 24 09:04:44.695000","CONSENT","37_1","1.414155884695E12","false","false","false","false",0,40229,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"32","2014 10 24 09:04:52.972000","CONSENT","38_1","1.414155892972E12","true","false","false","true",2,37364,NA,NA,NA,NA,NA,NA,1,0,0,1,74,47.5041153629297,2.1104152867906,0.450085624139834
"33","2014 10 24 09:05:00.304000","CONSENT","39_1","1.414155900304E12","true","false","false","true",2,22768,"rr","Male",33,2,"33",33,1,0,0,1,74,47.5041153629297,2.1104152867906,0.450085624139834
"34","2014 10 24 09:05:04.249000","CONSENT","40_1","1.414155904249E12","false","true","false","false",1,314990,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"35","2014 10 24 09:05:09.875000","CONSENT","41_1","1.414155909875E12","false","false","false","true",1,76155,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"36","2014 10 24 09:05:13.640000","CONSENT","43_1","1.414155913064E12","false","true","false","false",1,94924,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"37","2014 10 24 09:05:31.237000","CONSENT","44_1","1.414155931237E12","false","false","false","false",0,51418,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"38","2014 10 24 09:05:33.329000","CONSENT","45_1","1.414155933329E12","false","false","false","false",0,111153,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"39","2014 10 24 09:05:39.576000","CONSENT","47_1","1.414155939576E12","false","false","false","false",0,13468,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"40","2014 10 24 09:05:41.946000","CONSENT","48_1","1.414155941946E12","false","false","false","true",1,39984,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"41","2014 10 24 09:05:44.340000","CONSENT","49_1","1.41415594434E12","false","true","false","true",2,217683,"-","Male",2,6,"United States",28,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"42","2014 10 24 09:05:45.788000","CONSENT","50_1","1.414155945788E12","false","true","false","true",2,12105,NA,NA,NA,NA,NA,NA,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"43","2014 10 24 09:05:48.828000","CONSENT","51_1","1.414155948828E12","false","false","false","false",0,182585,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"44","2014 10 24 09:06:08.638000","CONSENT","53_1","1.414155968638E12","true","false","false","false",1,30034,NA,NA,NA,NA,NA,NA,1,0,0,0,112,83.6028446034209,1.96241940092683,0.521950632280381
"45","2014 10 24 09:06:11.344000","CONSENT","55_1","1.414155971344E12","false","false","false","true",1,118376,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"46","2014 10 24 09:06:12.962000","CONSENT","56_1","1.414155972962E12","false","false","false","true",1,243360,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"47","2014 10 24 09:06:22.703000","CONSENT","58_1","1.414155982703E12","false","false","false","false",0,57089,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"48","2014 10 24 09:06:23.149000","CONSENT","59_1","1.414155983149E12","false","false","false","true",1,96950,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"49","2014 10 24 09:06:27.198000","CONSENT","60_1","1.414155987198E12","false","true","false","false",1,204931,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"50","2014 10 24 09:06:27.556000","CONSENT","61_1","1.414155987556E12","false","false","false","false",0,88246,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"51","2014 10 24 09:06:36.471000","CONSENT","63_1","1.414155996471E12","true","false","false","false",1,75442,NA,NA,NA,NA,NA,NA,1,0,0,0,112,83.6028446034209,1.96241940092683,0.521950632280381
"52","2014 10 24 09:06:48.930000","CONSENT","64_1","1.414156008093E12","false","true","false","true",2,94144,"-","Female",0,7,"usa",43,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"53","2014 10 24 09:06:50.737000","CONSENT","65_1","1.414156010737E12","false","false","false","false",0,102663,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"54","2014 10 24 09:06:58.976000","CONSENT","67_1","1.414156018976E12","false","true","false","false",1,126470,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"55","2014 10 24 09:07:20.392000","CONSENT","68_1","1.414156040392E12","false","true","false","false",1,198667,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"56","2014 10 24 09:07:22.866000","CONSENT","69_1","1.414156042866E12","false","false","false","false",0,102106,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"57","2014 10 24 09:07:35.577000","CONSENT","70_1","1.414156055577E12","false","true","false","true",2,81612,"-","Male",1,5,"US",41,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"58","2014 10 24 09:07:59.447000","CONSENT","71_1","1.414156079447E12","false","true","false","true",2,77871,"-","Female",2,5,"US",25,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"59","2014 10 24 09:08:16.316000","CONSENT","73_1","1.414156096316E12","false","true","false","true",2,114201,"Good.","Female",5,6,"India",25,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"60","2014 10 24 09:08:22.178000","CONSENT","74_1","1.414156102178E12","false","true","false","false",1,11633,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"61","2014 10 24 09:08:35.807000","CONSENT","75_1","1.414156115807E12","false","false","false","false",0,42731,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"62","2014 10 24 09:08:45.370000","CONSENT","76_1","1.41415612537E12","false","true","false","false",1,237464,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"63","2014 10 24 09:08:50.670000","CONSENT","77_1","1.41415613067E12","false","false","false","false",0,22890,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"64","2014 10 24 09:09:07.652000","CONSENT","78_1","1.414156147652E12","false","false","true","false",1,178377,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"65","2014 10 24 09:09:15.106000","CONSENT","79_1","1.414156155106E12","false","true","false","false",1,506445,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"66","2014 10 24 09:09:18.756000","CONSENT","80_1","1.414156158756E12","false","true","false","false",1,127144,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"67","2014 10 24 09:09:22.364000","CONSENT","81_1","1.414156162364E12","false","false","false","false",0,24850,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"68","2014 10 24 09:09:28.443000","CONSENT","82_1","1.414156168443E12","false","false","false","true",1,18058,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"69","2014 10 24 09:09:33.346000","CONSENT","83_1","1.414156173345E12","false","true","false","false",1,227215,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"70","2014 10 24 09:09:42.267000","CONSENT","84_1","1.414156182267E12","false","true","false","false",1,106216,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"71","2014 10 24 09:09:55.414000","CONSENT","85_1","1.414156195414E12","false","true","true","true",3,28228,NA,NA,NA,NA,NA,NA,0,1,1,1,54,96.4692201261113,3.43634060188857,0.331005326166684
"72","2014 10 24 09:10:01.330000","CONSENT","86_1","1.41415620133E12","false","false","false","false",0,22205,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"73","2014 10 24 09:10:01.427000","CONSENT","87_1","1.414156201427E12","true","true","true","false",3,12133,"Good survey","Male",5,6,"USA",27,1,1,1,0,68,80.0374563441851,3.82806800487549,0.484277048619239
"74","2014 10 24 09:10:15.698000","CONSENT","88_1","1.414156215698E12","false","false","false","true",1,127273,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"75","2014 10 24 09:10:17.905000","CONSENT","89_1","1.414156217904E12","false","true","false","false",1,17849,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"76","2014 10 24 09:10:20.828000","CONSENT","90_1","1.414156220828E12","false","false","false","true",1,154170,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"77","2014 10 24 09:10:24.594000","CONSENT","91_1","1.414156224594E12","true","true","true","false",3,328585,NA,NA,NA,NA,NA,NA,1,1,1,0,68,80.0374563441851,3.82806800487549,0.484277048619239
"78","2014 10 24 09:10:29.473000","CONSENT","92_1","1.414156229473E12","false","true","false","false",1,62449,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"79","2014 10 24 09:10:32.183000","CONSENT","93_1","1.414156232183E12","false","true","false","false",1,9641,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"80","2014 10 24 09:10:35.514000","CONSENT","94_1","1.414156235514E12","false","false","false","false",0,103250,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"81","2014 10 24 09:10:35.864000","CONSENT","95_1","1.414156235864E12","false","true","false","true",2,41863,"-","Male",1,7,"United States",40,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"82","2014 10 24 09:10:39.298000","CONSENT","96_1","1.414156239298E12","false","false","false","false",0,21949,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"83","2014 10 24 09:10:44.293000","CONSENT","97_1","1.414156244293E12","false","true","false","false",1,7630,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"84","2014 10 24 09:10:52.115000","CONSENT","98_1","1.414156252115E12","false","false","true","false",1,10189,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"85","2014 10 24 09:10:57.472000","CONSENT","99_1","1.414156257472E12","false","false","false","true",1,64062,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"86","2014 10 24 09:11:13.673000","CONSENT","100_1","1.414156273673E12","false","true","false","false",1,11273,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"87","2014 10 24 09:11:13.770000","CONSENT","101_1","1.41415627377E12","false","true","false","false",1,281371,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"88","2014 10 24 09:11:18.982000","CONSENT","102_1","1.414156278982E12","false","false","true","true",2,30848,"fun hit.","Male",1,7,"USA",28,0,0,1,1,76,74.006804674111,3.35123515172134,0.307458604524541
"89","2014 10 24 09:11:19.342000","CONSENT","103_1","1.414156279342E12","false","false","false","true",1,153544,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"90","2014 10 24 09:11:21.364000","CONSENT","104_1","1.414156281364E12","false","false","false","true",1,125795,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"91","2014 10 24 09:11:21.884000","CONSENT","105_1","1.414156281884E12","true","false","false","false",1,14074,NA,NA,NA,NA,NA,NA,1,0,0,0,112,83.6028446034209,1.96241940092683,0.521950632280381
"92","2014 10 24 09:11:24.396000","CONSENT","106_1","1.414156284396E12","false","false","false","false",0,135314,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"93","2014 10 24 09:11:33.244000","CONSENT","108_1","1.414156293244E12","true","true","false","true",3,337687,"In many of the examples it did not give me enough code to figure out the problem.","Female",8,4,"USA",25,1,1,0,1,18,42.8694720184974,2.2561509859929,0.387277422517554
"94","2014 10 24 09:11:34.529000","CONSENT","109_1","1.414156294529E12","false","false","false","true",1,8470,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"95","2014 10 24 09:11:36.521000","CONSENT","110_1","1.414156296521E12","false","true","true","true",3,64639,NA,NA,NA,NA,NA,NA,0,1,1,1,54,96.4692201261113,3.43634060188857,0.331005326166684
"96","2014 10 24 09:11:43.251000","CONSENT","111_1","1.414156303251E12","false","true","false","false",1,44266,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"97","2014 10 24 09:11:44.421000","CONSENT","112_1","1.414156304421E12","false","false","false","true",1,93367,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"98","2014 10 24 09:11:51.490000","CONSENT","113_1","1.414156311049E12","true","false","false","false",1,8376,NA,NA,NA,NA,NA,NA,1,0,0,0,112,83.6028446034209,1.96241940092683,0.521950632280381
"99","2014 10 24 09:11:57.256000","CONSENT","114_1","1.414156317256E12","false","false","false","true",1,5889,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"100","2014 10 24 09:12:09.160000","CONSENT","115_1","1.41415632916E12","false","false","true","false",1,111059,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"101","2014 10 24 09:12:17.489000","CONSENT","117_1","1.414156337489E12","false","false","false","false",0,19367,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"102","2014 10 24 09:12:26.915000","CONSENT","118_1","1.414156346915E12","false","false","false","true",1,35259,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"103","2014 10 24 09:12:31.712000","CONSENT","119_1","1.414156351712E12","false","true","false","false",1,596146,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"104","2014 10 24 09:12:38.641000","CONSENT","121_1","1.414156358641E12","false","true","false","false",1,95102,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"105","2014 10 24 09:12:45.616000","CONSENT","122_1","1.414156365616E12","true","false","false","false",1,6865,NA,NA,NA,NA,NA,NA,1,0,0,0,112,83.6028446034209,1.96241940092683,0.521950632280381
"106","2014 10 24 09:12:48.878000","CONSENT","123_1","1.414156368878E12","false","true","false","false",1,227787,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"107","2014 10 24 09:12:52.636000","CONSENT","125_1","1.414156372636E12","false","true","false","false",1,44792,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"108","2014 10 24 09:12:57.224000","CONSENT","127_1","1.414156377224E12","false","false","true","false",1,6541,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"109","2014 10 24 09:13:10.560000","CONSENT","129_1","1.414156390056E12","false","false","true","false",1,23659,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"110","2014 10 24 09:13:20.398000","CONSENT","131_1","1.414156400398E12","false","false","false","false",0,227549,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"111","2014 10 24 09:13:30.328000","CONSENT","132_1","1.414156410328E12","false","true","true","true",3,68437,NA,NA,NA,NA,NA,NA,0,1,1,1,54,96.4692201261113,3.43634060188857,0.331005326166684
"112","2014 10 24 09:13:35.928000","CONSENT","133_1","1.414156415928E12","false","true","false","false",1,91767,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"113","2014 10 24 09:13:38.972000","CONSENT","134_1","1.414156418972E12","false","false","true","true",2,9637,"-","Male",1,6,"Unites States",24,0,0,1,1,76,74.006804674111,3.35123515172134,0.307458604524541
"114","2014 10 24 09:14:12.207000","CONSENT","137_1","1.414156452207E12","false","false","false","false",0,10794,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"115","2014 10 24 09:14:28.110000","CONSENT","138_1","1.414156468011E12","false","true","true","false",2,25790,"nice programs","Male",2,3,"india",28,0,1,1,0,134,125.218765835446,3.37110733051233,0.312586257475557
"116","2014 10 24 09:14:28.891000","CONSENT","139_1","1.414156468891E12","false","true","false","false",1,212046,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"117","2014 10 24 09:14:40.200000","CONSENT","141_1","1.4141564802E12","false","true","false","false",1,334245,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"118","2014 10 24 09:14:46.373000","CONSENT","143_1","1.414156486373E12","false","false","false","true",1,94013,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"119","2014 10 24 09:14:51.178000","CONSENT","144_1","1.414156491178E12","false","true","false","true",2,164522,"Good Task o improve our knowledge","Male",1,7,"India",28,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"120","2014 10 24 09:14:55.671000","CONSENT","146_1","1.414156495671E12","false","false","false","true",1,76195,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"121","2014 10 24 09:14:59.365000","CONSENT","147_1","1.414156499365E12","false","true","false","true",2,367316,NA,NA,NA,NA,NA,NA,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"122","2014 10 24 09:15:02.727000","CONSENT","148_1","1.414156502727E12","false","false","false","true",1,647775,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"123","2014 10 24 09:15:18.388000","CONSENT","149_1","1.414156518388E12","false","false","false","false",0,57580,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"124","2014 10 24 09:15:24.618000","CONSENT","150_1","1.414156524618E12","false","false","false","true",1,176394,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"125","2014 10 24 09:16:19.500000","CONSENT","151_1","1.41415657905E12","false","false","false","false",0,130872,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"126","2014 10 24 09:16:25.160000","CONSENT","152_1","1.41415658516E12","false","true","false","false",1,8595,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"127","2014 10 24 09:16:31.391000","CONSENT","153_1","1.414156591391E12","true","false","false","true",2,35104,"this survey is easy to do. it is useful to give my answers","Male",4,5,"India",32,1,0,0,1,74,47.5041153629297,2.1104152867906,0.450085624139834
"128","2014 10 24 09:16:47.700000","CONSENT","154_1","1.414156607007E12","false","false","false","true",1,376340,NA,NA,NA,NA,NA,NA,0,0,0,1,590,530.430890704887,0.540576584990148,0.91384294122806
"129","2014 10 24 09:16:51.697000","CONSENT","155_1","1.414156611697E12","false","true","false","true",2,23427,NA,NA,NA,NA,NA,NA,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"130","2014 10 24 09:17:10.400000","CONSENT","157_1","1.41415663004E12","false","true","true","false",2,52059,NA,NA,NA,NA,NA,NA,0,1,1,0,134,125.218765835446,3.37110733051233,0.312586257475557
"131","2014 10 24 09:17:10.728000","CONSENT","158_1","1.414156630728E12","false","true","false","true",2,168628,NA,NA,NA,NA,NA,NA,0,1,0,1,335,394.50593808224,1.19394940552886,0.834465481059691
"132","2014 10 24 09:17:47.781000","CONSENT","159_1","1.414156667781E12","false","false","true","false",1,64887,NA,NA,NA,NA,NA,NA,0,0,1,0,124,97.8567766805342,3.29411676115972,0.294000106867862
"133","2014 10 24 09:17:49.450000","CONSENT","160_1","1.414156669045E12","false","false","false","false",0,92942,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
"134","2014 10 24 09:17:50.414000","CONSENT","161_1","1.414156670414E12","false","true","false","false",1,60794,NA,NA,NA,NA,NA,NA,0,1,0,0,878,777.59397896251,0.71219762968042,0.902294960111203
"135","2014 10 24 09:18:15.650000","CONSENT","162_1","1.41415669565E12","false","false","false","false",0,477242,NA,NA,NA,NA,NA,NA,0,0,0,0,1012,1106.01245127689,0,0.934374336405014
